experiment,type,reward1,reward2,reward3,reward4,reward5
nouns,synonym,0.03724014794031374,0.731990704879938,0.5698896820246593,0.034110364809693136,0.4185896609513987
nouns,related,0.5857735762047498,0.4875014533193815,0.7170669153648869,0.6444523639819435,0.6388500931098696
nouns,random,0.002383015597920277,0.0014155052264808363,0.381140350877193,0.0044662795891022775,0.10535557506584724
nouns,noise,0.3688179586110137,0.013445679455001793,0.010869565217391304,0.18193477464272628,0.0038979447200566974
nouns,most similiar,0.9250929536592002,0.6617283950617284,0.8616582684379295,0.8223025583982202,0.702365670273244
verbs,synonym,0.9190586557318595,0.8627785765636233,0.9048048318759578,0.9112366718308575,0.7525865946918578
verbs,related,0.9177057356608479,0.8611959059077033,0.9,0.9106801420376947,0.753438202247191
verbs,random,0.8794154650150005,0.844733242134063,0.873162125073515,0.8442201108471893,0.7377756001959823
verbs,noise,0.7082982898794505,0.6077733485193622,0.41206896551724137,0.5987456242707118,0.28622008214133976
verbs,most similiar,0.9259885999287496,0.8788831028910038,0.9204320432043205,0.9247018118911045,0.7546966292134831
verbs,antonym,0.9097905852872741,0.8422573363431152,0.8833695258776691,0.8849775989759532,0.7014277968552323
nouns and verbs,synonym,0.01826677994902294,0.7102951763858891,0.5453226976069616,0.024451318309029312,0.40557541100786276
nouns and verbs,related,0.2062898956873735,0.1527140370311758,0.45165414735496245,0.37183235867446396,0.3702187942704234
nouns and verbs,random,0.008037742442774769,0.0014298480786416443,0.09343434343434344,0.005480453050785532,0.04232057838123788
nouns and verbs,noise,0.00035075412136092597,0.0,0.030253623188405798,0.008794430194210334,0.0024805102763997165
nouns and verbs,most similiar,0.9017710425415374,0.6079602904678739,0.8480545823345012,0.8420218222512357,0.6752073732718894
nouns and verbs,antonym,0.8701789085678324,0.826640014537525,0.8657882780554294,0.8482676224611708,0.6963993453355155
